local_timezone,timestamp,device_id,bt_address,bt_name,bt_rssi,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1759234594035,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,ED:AE:28:18:20:76,NA,127,2025-09-30 14:16:34,2025-09-30,14:16:34,14,16,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234714320,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,ED:AE:28:18:20:76,NA,-87,2025-09-30 14:18:34,2025-09-30,14:18:34,14,18,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234716071,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,27:E9:AE:F6:4A:3A,NA,-87,2025-09-30 14:18:36,2025-09-30,14:18:36,14,18,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234717081,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,27:E9:AE:F6:4A:3A,NA,-83,2025-09-30 14:18:37,2025-09-30,14:18:37,14,18,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234866865,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:73:FF:A2:72:A7,NA,-93,2025-09-30 14:21:06,2025-09-30,14:21:06,14,21,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234880738,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,ED:AE:28:18:20:76,NA,-89,2025-09-30 14:21:20,2025-09-30,14:21:20,14,21,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234880806,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:73:FF:A2:72:A7,NA,-92,2025-09-30 14:21:20,2025-09-30,14:21:20,14,21,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759234944908,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,ED:AE:28:18:20:76,NA,-86,2025-09-30 14:22:24,2025-09-30,14:22:24,14,22,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235342997,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,10:BE:4F:06:F5:8A,NA,-94,2025-09-30 14:29:02,2025-09-30,14:29:02,14,29,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235453385,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:B2:D5:35:49:36,NA,-91,2025-09-30 14:30:53,2025-09-30,14:30:53,14,30,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235577116,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:B2:D5:35:49:36,NA,-88,2025-09-30 14:32:57,2025-09-30,14:32:57,14,32,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235928954,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5B:B6:AD:5C:E1:8D,NA,-89,2025-09-30 14:38:48,2025-09-30,14:38:48,14,38,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235934763,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7A:64:A1:18:A6:E9,NA,-88,2025-09-30 14:38:54,2025-09-30,14:38:54,14,38,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235934775,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,62:2B:46:C1:EA:49,NA,-93,2025-09-30 14:38:54,2025-09-30,14:38:54,14,38,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235941987,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:F6:EE:09:26:17,NA,-91,2025-09-30 14:39:01,2025-09-30,14:39:01,14,39,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759235944778,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:76:E8:A4:3D:52,NA,-92,2025-09-30 14:39:04,2025-09-30,14:39:04,14,39,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759236897497,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,57:3E:23:3A:F1:AE,NA,-93,2025-09-30 14:54:57,2025-09-30,14:54:57,14,54,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237015880,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:D6:82:2C:89:65,NA,-84,2025-09-30 14:56:55,2025-09-30,14:56:55,14,56,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237251323,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,13:22:19:8F:43:CE,NA,-90,2025-09-30 15:00:51,2025-09-30,15:00:51,15,0,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237505298,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F0:11:F4:3C:AF:0E,NA,-89,2025-09-30 15:05:05,2025-09-30,15:05:05,15,5,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237611345,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,03:08:E0:9D:BC:63,NA,-88,2025-09-30 15:06:51,2025-09-30,15:06:51,15,6,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237618132,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,14:A8:DE:22:3F:D9,NA,-90,2025-09-30 15:06:58,2025-09-30,15:06:58,15,6,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237624231,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,03:08:E0:9D:BC:63,NA,-87,2025-09-30 15:07:04,2025-09-30,15:07:04,15,7,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237625658,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F0:11:F4:3C:AF:0E,NA,-90,2025-09-30 15:07:05,2025-09-30,15:07:05,15,7,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237737176,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:3A:92:CF:BF:39,NA,-94,2025-09-30 15:08:57,2025-09-30,15:08:57,15,8,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237740841,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:1C:08:E0:0A:D6,NA,-86,2025-09-30 15:09:00,2025-09-30,15:09:00,15,9,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237740858,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,46:5D:9F:C4:4B:81,NA,127,2025-09-30 15:09:00,2025-09-30,15:09:00,15,9,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237740870,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6C:DE:25:AB:67:6D,NA,-86,2025-09-30 15:09:00,2025-09-30,15:09:00,15,9,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237744189,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,46:5D:9F:C4:4B:81,NA,-87,2025-09-30 15:09:04,2025-09-30,15:09:04,15,9,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237862081,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:E6:59:F6:DC:76,NA,-93,2025-09-30 15:11:02,2025-09-30,15:11:02,15,11,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237866319,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:E6:59:F6:DC:76,NA,-88,2025-09-30 15:11:06,2025-09-30,15:11:06,15,11,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759238098252,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,58:A6:88:06:23:19,NA,-91,2025-09-30 15:14:58,2025-09-30,15:14:58,15,14,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759238106159,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,60:74:6F:1A:A8:B3,NA,-93,2025-09-30 15:15:06,2025-09-30,15:15:06,15,15,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759238346168,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,EF:47:E9:2B:A3:6A,NA,-83,2025-09-30 15:19:06,2025-09-30,15:19:06,15,19,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
