local_timezone,timestamp,device_id,screen_status,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1759236216326,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 14:43:36,2025-09-30,14:43:36,14,43,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759236216338,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 14:43:36,2025-09-30,14:43:36,14,43,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759236541918,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 14:49:01,2025-09-30,14:49:01,14,49,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759236544597,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 14:49:04,2025-09-30,14:49:04,14,49,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237283902,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 15:01:23,2025-09-30,15:01:23,15,1,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237432308,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 15:03:52,2025-09-30,15:03:52,15,3,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759237436069,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 15:03:56,2025-09-30,15:03:56,15,3,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759240896710,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 16:01:36,2025-09-30,16:01:36,16,1,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759241084549,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 16:04:44,2025-09-30,16:04:44,16,4,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759241085735,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 16:04:45,2025-09-30,16:04:45,16,4,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759241711678,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 16:15:11,2025-09-30,16:15:11,16,15,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759242398751,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,2025-09-30 16:26:38,2025-09-30,16:26:38,16,26,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759242399847,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-09-30 16:26:39,2025-09-30,16:26:39,16,26,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759242412892,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,0,2025-09-30 16:26:52,2025-09-30,16:26:52,16,26,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
Europe/Berlin,1759242412900,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,2025-09-30 16:26:52,2025-09-30,16:26:52,16,26,"[daily_RR0SS#2025-09-30 00:00:00,2025-09-30 23:59:59;1759183200000,1759269599999]"
