pid,category,priority,wkt
fc82547a6a7e73b3,exercise,30,"POLYGON((6.9392824 49.2462793,6.9371903 49.2423290,6.9420934 49.2421048,6.9425440 49.2449346,6.9392824 49.2462793))"
fc82547a6a7e73b3,exercise,30,"POLYGON((8.0184136 50.9051254,8.0185229 50.9051825,8.0186057 50.9051186,8.0185078 50.9050636,8.0184136 50.9051254))"
fc82547a6a7e73b3,greens,40,"POLYGON((6.9332206 49.2432606,6.9229746 49.2445843,6.9192839 49.2441991,6.9300234 49.2410892,6.9332206 49.2432606))"
fc82547a6a7e73b3,greens,40,"POLYGON((8.0184136 50.9051254,8.0185229 50.9051825,8.0186057 50.9051186,8.0185078 50.9050636,8.0184136 50.9051254))"
fc82547a6a7e73b3,home,1,"POLYGON((6.9360913 49.2424524,6.9361791 49.2425444,6.9364949 49.2424476,6.9364225 49.2423548,6.9360913 49.2424524))"
fc82547a6a7e73b3,home,1,"POLYGON((8.0211112 50.8643192,8.0210917 50.8642337,8.0212540 50.8642227,8.0212755 50.8643048,8.0211112 50.8643192))"
fc82547a6a7e73b3,home,1,"POLYGON((8.0184136 50.9051254,8.0185229 50.9051825,8.0186057 50.9051186,8.0185078 50.9050636,8.0184136 50.9051254))"
fc82547a6a7e73b3,living,20,"POLYGON((6.9360919 49.2424524,6.9361791 49.2425417,6.9364929 49.2424542,6.9364339 49.2423535,6.9360919 49.2424524))"
fc82547a6a7e73b3,living,20,"POLYGON((8.0211112 50.8643192,8.0210917 50.8642337,8.0212540 50.8642227,8.0212755 50.8643048,8.0211112 50.8643192))"
fc82547a6a7e73b3,living,20,"POLYGON((8.0184136 50.9051254,8.0185229 50.9051825,8.0186057 50.9051186,8.0185078 50.9050636,8.0184136 50.9051254))"
fc82547a6a7e73b3,study,10,"POLYGON((6.9392911 49.2462841,6.9393019 49.2461611,6.9397263 49.2461751,6.9397189 49.2462920,6.9392911 49.2462841))"
fc82547a6a7e73b3,study,10,"POLYGON((8.0211112 50.8643192,8.0210917 50.8642337,8.0212540 50.8642227,8.0212755 50.8643048,8.0211112 50.8643192))"
fc82547a6a7e73b3,study,10,"POLYGON((8.0184136 50.9051254,8.0185229 50.9051825,8.0186057 50.9051186,8.0185078 50.9050636,8.0184136 50.9051254))"
