pid,date,f_wifi:phone_wifi_visible_rapids_countscans:afternoon,f_wifi:phone_wifi_visible_rapids_countscans:allday,f_wifi:phone_wifi_visible_rapids_countscans:evening,f_wifi:phone_wifi_visible_rapids_countscans:morning,f_wifi:phone_wifi_visible_rapids_countscans:night,f_wifi:phone_wifi_visible_rapids_countscans:wkdy,f_wifi:phone_wifi_visible_rapids_countscans:wkend,f_wifi:phone_wifi_visible_rapids_uniquedevices:afternoon,f_wifi:phone_wifi_visible_rapids_uniquedevices:allday,f_wifi:phone_wifi_visible_rapids_uniquedevices:evening,f_wifi:phone_wifi_visible_rapids_uniquedevices:morning,f_wifi:phone_wifi_visible_rapids_uniquedevices:night,f_wifi:phone_wifi_visible_rapids_uniquedevices:wkdy,f_wifi:phone_wifi_visible_rapids_uniquedevices:wkend,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:afternoon,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:allday,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:evening,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:morning,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:night,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:wkdy,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:wkend,f_wifi:phone_wifi_visible_rapids_countscans:7dhist,f_wifi:phone_wifi_visible_rapids_countscans:14dhist,f_wifi:phone_wifi_visible_rapids_uniquedevices:7dhist,f_wifi:phone_wifi_visible_rapids_uniquedevices:14dhist,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:7dhist,f_wifi:phone_wifi_visible_rapids_countscansmostuniquedevice:14dhist
P001,2025-10-13,3891.0,10954.0,3650.0,1660.0,2659.0,20000.0,,84.0,159.0,72.0,46.0,38.0,1693.0,,319.0,868.0,324.0,96.0,203.0,1096.0,,10954.0,10954.0,159.0,159.0,868.0,868.0
P001,2025-10-14,6851.0,8392.0,3955.0,3830.0,2601.0,,,2089.0,1138.0,76.0,364.0,40.0,,,100.0,507.0,321.0,113.0,173.0,,,19346.0,19346.0,1297.0,1297.0,1375.0,1375.0
P001,2025-10-15,5463.0,14562.0,7182.0,903.0,2762.0,,,610.0,1066.0,750.0,28.0,39.0,,,291.0,795.0,389.0,34.0,156.0,,,33908.0,33908.0,2363.0,2363.0,2170.0,2170.0
P001,2025-10-16,3989.0,7064.0,3769.0,2131.0,3098.0,,,94.0,108.0,68.0,53.0,33.0,,,329.0,561.0,289.0,128.0,231.0,,,40972.0,40972.0,2471.0,2471.0,2731.0,2731.0
P001,2025-10-17,2584.0,5827.0,1870.0,2356.0,763.0,,,70.0,526.0,466.0,65.0,31.0,,,231.0,425.0,77.0,171.0,54.0,,,46799.0,46799.0,2997.0,2997.0,3156.0,3156.0
P001,2025-10-18,1118.0,4111.0,1393.0,832.0,462.0,,4173.0,41.0,80.0,41.0,42.0,26.0,,80.0,84.0,319.0,123.0,56.0,40.0,,324.0,50910.0,50910.0,3077.0,3077.0,3475.0,3475.0
P001,2025-10-19,1083.0,3602.0,1085.0,686.0,484.0,,,39.0,61.0,35.0,32.0,29.0,,,87.0,274.0,87.0,46.0,34.0,,,54512.0,54512.0,3138.0,3138.0,3749.0,3749.0
P001,2025-10-20,1044.0,4381.0,2149.0,721.0,729.0,10000.0,,47.0,74.0,32.0,38.0,27.0,142.0,,86.0,362.0,191.0,52.0,53.0,815.0,,4381.0,4381.0,74.0,74.0,362.0,362.0
P001,2025-10-21,989.0,3798.0,1421.0,707.0,512.0,,,45.0,81.0,41.0,45.0,31.0,,,85.0,304.0,120.0,51.0,33.0,,,8179.0,8179.0,155.0,155.0,666.0,666.0
P001,2025-10-22,929.0,3497.0,1306.0,707.0,675.0,,,37.0,62.0,32.0,34.0,31.0,,,81.0,286.0,106.0,60.0,47.0,,,11676.0,11676.0,217.0,217.0,952.0,952.0
