"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_bluetooth_rapids_countscans","phone_bluetooth_rapids_uniquedevices","phone_bluetooth_rapids_countscansmostuniquedevice"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",437,222,23
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00","afternoon","2025-11-11 12:00:00","2025-11-11 17:00:00",608,401,30
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",564,367,7
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00","afternoon","2025-11-13 12:00:00","2025-11-13 17:00:00",517,325,23
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00","afternoon","2025-11-14 12:00:00","2025-11-14 17:00:00",349,239,27
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",236,182,0
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00","afternoon","2025-11-16 12:00:00","2025-11-16 17:00:00",17,11,0
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",1105,509,47
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",1288,737,24
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00","allday","2025-11-14 00:00:00","2025-11-15 00:00:00",906,504,95
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00","allday","2025-11-16 00:00:00","2025-11-17 00:00:00",187,108,27
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00","allday","2025-11-11 00:00:00","2025-11-12 00:00:00",1411,794,54
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",1201,671,65
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",549,307,0
"evening#2025-11-10 17:00:00,2025-11-10 22:00:00","evening","2025-11-10 17:00:00","2025-11-10 22:00:00",104,42,20
"evening#2025-11-11 17:00:00,2025-11-11 22:00:00","evening","2025-11-11 17:00:00","2025-11-11 22:00:00",130,59,21
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00","evening","2025-11-12 17:00:00","2025-11-12 22:00:00",115,50,0
"evening#2025-11-13 17:00:00,2025-11-13 22:00:00","evening","2025-11-13 17:00:00","2025-11-13 22:00:00",112,44,0
"evening#2025-11-14 17:00:00,2025-11-14 22:00:00","evening","2025-11-14 17:00:00","2025-11-14 22:00:00",97,37,25
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00","evening","2025-11-15 17:00:00","2025-11-15 22:00:00",111,31,46
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00","morning","2025-11-10 05:00:00","2025-11-10 12:00:00",455,225,27
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00","morning","2025-11-11 05:00:00","2025-11-11 12:00:00",536,288,26
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00","morning","2025-11-12 05:00:00","2025-11-12 12:00:00",491,270,24
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00","morning","2025-11-13 05:00:00","2025-11-13 12:00:00",450,250,23
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00","morning","2025-11-14 05:00:00","2025-11-14 12:00:00",287,173,20
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00","morning","2025-11-15 05:00:00","2025-11-15 12:00:00",99,40,0
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00","morning","2025-11-16 05:00:00","2025-11-16 12:00:00",91,53,0
"night#2025-11-10 22:00:00,2025-11-11 05:00:00","night","2025-11-10 22:00:00","2025-11-11 05:00:00",141,60,0
"night#2025-11-11 22:00:00,2025-11-12 05:00:00","night","2025-11-11 22:00:00","2025-11-12 05:00:00",108,55,0
"night#2025-11-12 22:00:00,2025-11-13 05:00:00","night","2025-11-12 22:00:00","2025-11-13 05:00:00",140,68,0
"night#2025-11-13 22:00:00,2025-11-14 05:00:00","night","2025-11-13 22:00:00","2025-11-14 05:00:00",115,64,0
"night#2025-11-14 22:00:00,2025-11-15 05:00:00","night","2025-11-14 22:00:00","2025-11-15 05:00:00",163,62,50
"night#2025-11-15 22:00:00,2025-11-16 05:00:00","night","2025-11-15 22:00:00","2025-11-16 05:00:00",117,67,27
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00","wkdy","2025-11-10 00:00:00","2025-11-15 00:00:00",5911,3161,236
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00","wkend","2025-11-15 00:00:00","2025-11-17 00:00:00",736,413,73
