local_timezone,episode_id,device_id,call_type,trace,start_timestamp,end_timestamp,timestamp,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762765337721,1762765337721,1762765337721,2025-11-10 10:02:17,2025-11-10,10:02:17,10,2,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,0,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762765337721,1762765337721,1762765337721,2025-11-10 10:02:17,2025-11-10,10:02:17,10,2,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[morning_RR0SS#2025-11-10 05:00:00,2025-11-10 12:00:00;1762747200000,1762772400999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762784926672,1762784926672,1762784926672,2025-11-10 15:28:46,2025-11-10,15:28:46,15,28,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762784926672,1762784926672,1762784926672,2025-11-10 15:28:46,2025-11-10,15:28:46,15,28,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,2,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788327659,1762788327659,1762788327659,2025-11-10 16:25:27,2025-11-10,16:25:27,16,25,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,2,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788327659,1762788327659,1762788327659,2025-11-10 16:25:27,2025-11-10,16:25:27,16,25,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,3,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762788537603,1762788583603,1762788537603,2025-11-10 16:28:57,2025-11-10,16:28:57,16,28,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,3,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,7f49ba336e703b2da35b7eda3ad303bb28c5e762,1762788537603,1762788583603,1762788583603,2025-11-10 16:29:43,2025-11-10,16:29:43,16,29,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,4,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788657336,1762788669336,1762788657336,2025-11-10 16:30:57,2025-11-10,16:30:57,16,30,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,4,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,2,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788657336,1762788669336,1762788669336,2025-11-10 16:31:09,2025-11-10,16:31:09,16,31,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,5,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788798837,1762788831837,1762788798837,2025-11-10 16:33:18,2025-11-10,16:33:18,16,33,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,5,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762788798837,1762788831837,1762788831837,2025-11-10 16:33:51,2025-11-10,16:33:51,16,33,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,6,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762789950302,1762789997302,1762789950302,2025-11-10 16:52:30,2025-11-10,16:52:30,16,52,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,6,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1,f09eb6b60c2939b5584a783cec889d6b563663ad,1762789950302,1762789997302,1762789997302,2025-11-10 16:53:17,2025-11-10,16:53:17,16,53,"[afternoon_RR0SS#2025-11-10 12:00:00,2025-11-10 17:00:00;1762772400000,1762790400999]|[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,7,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,a1ee9c168f0f1f44496ca59949a97409306a1f48,1762940820069,1762940820069,1762940820069,2025-11-12 10:47:00,2025-11-12,10:47:00,10,47,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[morning_RR0SS#2025-11-12 05:00:00,2025-11-12 12:00:00;1762920000000,1762945200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,7,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,a1ee9c168f0f1f44496ca59949a97409306a1f48,1762940820069,1762940820069,1762940820069,2025-11-12 10:47:00,2025-11-12,10:47:00,10,47,"[allday_RR0SS#2025-11-12 00:00:00,2025-11-13 00:00:00;1762902000000,1762988400999]|[morning_RR0SS#2025-11-12 05:00:00,2025-11-12 12:00:00;1762920000000,1762945200999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
