"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_calls_rapids_missed_count","phone_calls_rapids_missed_distinctcontacts","phone_calls_rapids_missed_timefirstcall","phone_calls_rapids_missed_timelastcall","phone_calls_rapids_missed_countmostfrequentcontact","phone_calls_rapids_incoming_count","phone_calls_rapids_incoming_distinctcontacts","phone_calls_rapids_incoming_meanduration","phone_calls_rapids_incoming_sumduration","phone_calls_rapids_incoming_minduration","phone_calls_rapids_incoming_maxduration","phone_calls_rapids_incoming_stdduration","phone_calls_rapids_incoming_modeduration","phone_calls_rapids_incoming_entropyduration","phone_calls_rapids_incoming_timefirstcall","phone_calls_rapids_incoming_timelastcall","phone_calls_rapids_incoming_countmostfrequentcontact","phone_calls_rapids_outgoing_count","phone_calls_rapids_outgoing_distinctcontacts","phone_calls_rapids_outgoing_meanduration","phone_calls_rapids_outgoing_sumduration","phone_calls_rapids_outgoing_minduration","phone_calls_rapids_outgoing_maxduration","phone_calls_rapids_outgoing_stdduration","phone_calls_rapids_outgoing_modeduration","phone_calls_rapids_outgoing_entropyduration","phone_calls_rapids_outgoing_timefirstcall","phone_calls_rapids_outgoing_timelastcall","phone_calls_rapids_outgoing_countmostfrequentcontact"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",2,2,928,985,1,2,1,40,80,33,47,9.89949493661167,33,0.684005549564299,993,1012,2,2,2,29,58,12,46,24.0416305603426,46,0.518436389236861,988,990,1
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,6,6,6,6,NA,6,0,1013,1013,0
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,81,81,81,81,NA,81,0,737,737,0
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",3,2,602,985,2,2,1,40,80,33,47,9.89949493661167,33,0.684005549564299,993,1012,2,2,2,29,58,12,46,24.0416305603426,46,0.518436389236861,988,990,1
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",1,1,647,647,0,1,1,112,112,112,112,NA,112,0,1057,1057,0,1,1,6,6,6,6,NA,6,0,1013,1013,0
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,81,81,81,81,NA,81,0,737,737,1
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00","evening","2025-11-12 17:00:00","2025-11-12 22:00:00",0,0,NA,NA,0,1,1,112,112,112,112,NA,112,0,1057,1057,1,0,0,0,0,0,0,NA,0,NA,NA,NA,0
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00","morning","2025-11-10 05:00:00","2025-11-10 12:00:00",1,1,602,602,1,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00","morning","2025-11-12 05:00:00","2025-11-12 12:00:00",1,1,647,647,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00","wkdy","2025-11-10 00:00:00","2025-11-15 00:00:00",4,3,602,647,2,3,2,64,192,33,112,42.154477816716,33,0.96679974497665,993,1057,2,3,3,21.3333333333333,64,6,46,21.5715862498179,46,0.788774632557755,988,1013,1
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00","wkend","2025-11-15 00:00:00","2025-11-17 00:00:00",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,1,1,81,81,81,81,NA,81,0,737,737,1
