"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_data_yield_rapids_ratiovalidyieldedminutes","phone_data_yield_rapids_ratiovalidyieldedhours"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",0.316649092642025,0
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00","afternoon","2025-11-11 12:00:00","2025-11-11 17:00:00",0.309982795954824,0.199988900616016
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",0.366646317796029,0.199988900616016
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00","afternoon","2025-11-13 12:00:00","2025-11-13 17:00:00",0.38331205951403,0
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00","afternoon","2025-11-14 12:00:00","2025-11-14 17:00:00",0.336647982703627,0.199988900616016
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",0.459974471416836,0.199988900616016
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00","afternoon","2025-11-16 12:00:00","2025-11-16 17:00:00",0.109993895338809,0
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",0.284024493744569,0
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",0.310413077515458,0.0833323698028075
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00","allday","2025-11-14 00:00:00","2025-11-15 00:00:00",0.306246459025317,0.0416661849014037
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00","allday","2025-11-16 00:00:00","2025-11-17 00:00:00",0.14305390149482,0
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00","allday","2025-11-11 00:00:00","2025-11-12 00:00:00",0.280552311669452,0.0416661849014037
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",0.299996531290107,0
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",0.320135187325785,0.0416661849014037
"evening#2025-11-10 17:00:00,2025-11-10 22:00:00","evening","2025-11-10 17:00:00","2025-11-10 22:00:00",0.349980576078028,0
"evening#2025-11-11 17:00:00,2025-11-11 22:00:00","evening","2025-11-11 17:00:00","2025-11-11 22:00:00",0.319982240985625,0
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00","evening","2025-11-12 17:00:00","2025-11-12 22:00:00",0.396644652888431,0.199988900616016
"evening#2025-11-13 17:00:00,2025-11-13 22:00:00","evening","2025-11-13 17:00:00","2025-11-13 22:00:00",0.356646872765228,0
"evening#2025-11-14 17:00:00,2025-11-14 22:00:00","evening","2025-11-14 17:00:00","2025-11-14 22:00:00",0.359980021108828,0
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00","evening","2025-11-15 17:00:00","2025-11-15 22:00:00",0.38331205951403,0
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00","morning","2025-11-10 05:00:00","2025-11-10 12:00:00",0.288083817629611,0
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00","morning","2025-11-11 05:00:00","2025-11-11 12:00:00",0.280941243638794,0
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00","morning","2025-11-12 05:00:00","2025-11-12 12:00:00",0.288083817629611,0
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00","morning","2025-11-13 05:00:00","2025-11-13 12:00:00",0.271417811651038,0
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00","morning","2025-11-14 05:00:00","2025-11-14 12:00:00",0.295226391620427,0
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00","morning","2025-11-15 05:00:00","2025-11-15 12:00:00",0.252370947675527,0
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00","morning","2025-11-16 05:00:00","2025-11-16 12:00:00",0.254751805672466,0
"night#2025-11-10 22:00:00,2025-11-11 05:00:00","night","2025-11-10 22:00:00","2025-11-11 05:00:00",0.228562367706137,0
"night#2025-11-11 22:00:00,2025-11-12 05:00:00","night","2025-11-11 22:00:00","2025-11-12 05:00:00",0.228562367706137,0
"night#2025-11-12 22:00:00,2025-11-13 05:00:00","night","2025-11-12 22:00:00","2025-11-13 05:00:00",0.235704941696954,0
"night#2025-11-13 22:00:00,2025-11-14 05:00:00","night","2025-11-13 22:00:00","2025-11-14 05:00:00",0.221419793715321,0
"night#2025-11-14 22:00:00,2025-11-15 05:00:00","night","2025-11-14 22:00:00","2025-11-15 05:00:00",0.264275237660221,0
"night#2025-11-15 22:00:00,2025-11-16 05:00:00","night","2025-11-15 22:00:00","2025-11-16 05:00:00",0.247609231681649,0
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00","wkdy","2025-11-10 00:00:00","2025-11-15 00:00:00",0.296249314923459,0.0333332562501783
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00","wkend","2025-11-15 00:00:00","2025-11-17 00:00:00",0.231595883308522,0.0208332128913213
