"episode_id","episode","device_id","screen_sequence","start_timestamp","end_timestamp"
13,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762756126542,1762756783767
16,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762757209988,1762757247204
25,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762765356343,1762765413016
28,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762765414379,1762765546841
35,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762766274297,1762766374255
40,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762766902558,1762767006169
43,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762768402898,1762768460271
46,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762775188377,1762775209909
55,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788431340,1762788444171
58,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788536356,1762788731213
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788738194,1762790015058
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790341046,1762790478823
67,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790515611,1762790518027
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790565052,1762790932228
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791028744,1762792489078
78,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762792907500,1762792915282
81,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762793044447,1762793911411
84,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762796263183,1762796359230
87,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762796914132,1762797022389
90,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762797433382,1762797855757
93,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762798312930,1762798318851
96,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762799019934,1762799634507
