local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00",allday,2025-11-10 00:00:00,2025-11-11 00:00:00,28.0,185.8707333333333,62.713949999999976,0.040266666666666666,6.638240476190475,12.696104200618043,448.76666666666665
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00",allday,2025-11-12 00:00:00,2025-11-13 00:00:00,29.0,225.1921166666666,104.70651666666663,0.07615,7.765245402298849,19.781159219999267,448.78333333333336
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00",allday,2025-11-14 00:00:00,2025-11-15 00:00:00,33.0,183.20806666666658,31.921433333333322,0.09745,5.551759595959593,8.123780220675425,410.5833333333333
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00",allday,2025-11-16 00:00:00,2025-11-17 00:00:00,13.0,162.64691666666664,115.93859999999995,0.23646666666666666,12.51130128205128,31.404083811836543,0.0
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00",allday,2025-11-11 00:00:00,2025-11-12 00:00:00,21.0,161.0976666666666,60.33859999999997,0.05873333333333333,7.671317460317458,14.90301763479228,444.78333333333336
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00",allday,2025-11-13 00:00:00,2025-11-14 00:00:00,29.0,218.05244999999996,67.44746666666664,0.0932,7.519049999999999,13.66378622469216,445.28333333333336
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00",allday,2025-11-15 00:00:00,2025-11-16 00:00:00,63.0,328.5217666666666,84.55171666666664,0.08611666666666666,5.214631216931216,12.517219827180385,0.0
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00",morning,2025-11-10 05:00:00,2025-11-10 12:00:00,7.0,19.07506666666666,10.953583333333333,0.6202666666666666,2.725009523809523,3.6702325115928875,448.76666666666665
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00",morning,2025-11-11 05:00:00,2025-11-11 12:00:00,2.0,15.632983333333332,15.377716666666664,0.25526666666666664,7.816491666666666,10.693186943154505,444.78333333333336
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00",morning,2025-11-12 05:00:00,2025-11-12 12:00:00,2.0,10.048966666666667,9.622833333333334,0.4261333333333333,5.024483333333333,6.503048934538322,448.78333333333336
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00",morning,2025-11-13 05:00:00,2025-11-13 12:00:00,5.0,25.215866666666667,11.342916666666666,0.9673333333333334,5.043173333333334,4.54284743052502,445.28333333333336
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00",morning,2025-11-14 05:00:00,2025-11-14 12:00:00,5.0,13.995833333333334,8.20635,0.09745,2.799166666666667,3.4397679226665216,410.5833333333333
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00",morning,2025-11-15 05:00:00,2025-11-15 12:00:00,6.0,79.19106666666664,50.12056666666665,1.2577833333333333,13.198511111111108,18.544103216849958,603.0666666666667
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00",morning,2025-11-16 05:00:00,2025-11-16 12:00:00,4.0,125.57531666666662,115.93859999999995,2.6117666666666666,31.393829166666656,56.366814580360426,523.0166666666667
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00",afternoon,2025-11-10 12:00:00,2025-11-10 17:00:00,5.0,26.10021666666666,21.280716666666663,0.21385,5.220043333333332,9.060136314453123,766.4666666666667
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00",afternoon,2025-11-11 12:00:00,2025-11-11 17:00:00,8.0,46.54941666666666,28.65219999999999,0.18648333333333333,5.818677083333332,9.536273525047338,742.4166666666666
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00",afternoon,2025-11-12 12:00:00,2025-11-12 17:00:00,9.0,33.70373333333333,19.513599999999997,0.08825,3.7448592592592593,6.223646721784354,772.9833333333333
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00",afternoon,2025-11-13 12:00:00,2025-11-13 17:00:00,10.0,48.661433333333335,20.55956666666666,0.0932,4.8661433333333335,6.932426234439011,760.85
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00",afternoon,2025-11-14 12:00:00,2025-11-14 17:00:00,6.0,28.130333333333333,19.74328333333333,0.146,4.6883888888888885,7.564596575118615,749.5333333333333
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00",afternoon,2025-11-15 12:00:00,2025-11-15 17:00:00,35.0,76.85278333333333,9.47765,0.08611666666666666,2.1957938095238094,2.5261391178593424,720.0
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00",afternoon,2025-11-16 12:00:00,2025-11-16 17:00:00,8.0,35.83218333333333,14.378666666666664,0.23646666666666666,4.479022916666667,5.776177888191011,722.8333333333334
"evening#2025-11-10 17:00:00,2025-11-10 22:00:00",evening,2025-11-10 17:00:00,2025-11-10 22:00:00,17.0,83.02583333333334,24.338499999999993,0.040266666666666666,4.883872549019608,6.484709399350576,1020.0
"evening#2025-11-11 17:00:00,2025-11-11 22:00:00",evening,2025-11-11 17:00:00,2025-11-11 22:00:00,11.0,38.59331666666666,14.356799999999998,0.05873333333333333,3.5084833333333325,4.54382558331144,1020.0
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00",evening,2025-11-12 17:00:00,2025-11-12 22:00:00,18.0,109.26381666666666,32.530916666666656,0.07615,6.070212037037036,9.724427173857945,1020.0833333333334
"evening#2025-11-13 17:00:00,2025-11-13 22:00:00",evening,2025-11-13 17:00:00,2025-11-13 22:00:00,14.0,107.83519999999999,35.121083333333324,1.6548833333333333,7.702514285714285,11.010475091380018,1051.5833333333333
"evening#2025-11-14 17:00:00,2025-11-14 22:00:00",evening,2025-11-14 17:00:00,2025-11-14 22:00:00,13.0,79.23131666666666,26.139616666666658,1.7219833333333332,6.094716666666666,6.894720816021457,1020.0
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00",evening,2025-11-15 17:00:00,2025-11-15 22:00:00,19.0,56.986933333333326,17.080766666666666,0.35996666666666666,2.999312280701754,4.11234284074672,1021.4166666666666
"night#2025-11-10 22:00:00,2025-11-11 05:00:00",night,2025-11-10 22:00:00,2025-11-11 05:00:00,1.0,57.702916666666646,57.702916666666646,57.702916666666646,57.702916666666646,,1320.0
"night#2025-11-11 22:00:00,2025-11-12 05:00:00",night,2025-11-11 22:00:00,2025-11-12 05:00:00,1.0,60.33859999999997,60.33859999999997,60.33859999999997,60.33859999999997,,1321.0333333333333
"night#2025-11-12 22:00:00,2025-11-13 05:00:00",night,2025-11-12 22:00:00,2025-11-13 05:00:00,1.0,72.19224999999997,72.19224999999997,72.19224999999997,72.19224999999997,,1320.0
"night#2025-11-13 22:00:00,2025-11-14 05:00:00",night,2025-11-13 22:00:00,2025-11-14 05:00:00,1.0,36.356599999999986,36.356599999999986,36.356599999999986,36.356599999999986,,1320.0
"night#2025-11-14 22:00:00,2025-11-15 05:00:00",night,2025-11-14 22:00:00,2025-11-15 05:00:00,11.0,84.32471666666665,50.93734999999998,0.5203666666666666,7.665883333333332,14.885279439578323,1320.0
"night#2025-11-15 22:00:00,2025-11-16 05:00:00",night,2025-11-15 22:00:00,2025-11-16 05:00:00,3.0,94.27291666666665,85.77448333333331,1.7366666666666668,31.42430555555555,47.13564761260351,1337.95
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00",wkdy,2025-11-10 00:00:00,2025-11-15 00:00:00,140.0,973.4210333333332,104.70651666666663,0.040266666666666666,6.95300738095238,13.987832514101347,448.76666666666665
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00",wkend,2025-11-15 00:00:00,2025-11-17 00:00:00,75.0,491.1520333333332,115.93859999999995,0.08611666666666666,6.548693777777776,17.354483841390362,0.0
