"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_wifi_visible_rapids_countscans","phone_wifi_visible_rapids_uniquedevices","phone_wifi_visible_rapids_countscansmostuniquedevice"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",746,181,NA
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00","afternoon","2025-11-11 12:00:00","2025-11-11 17:00:00",2077,493,NA
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",3687,1404,NA
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00","afternoon","2025-11-13 12:00:00","2025-11-13 17:00:00",4596,546,NA
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00","afternoon","2025-11-14 12:00:00","2025-11-14 17:00:00",3183,718,NA
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",3594,1104,NA
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00","afternoon","2025-11-16 12:00:00","2025-11-16 17:00:00",180,15,NA
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",2846,324,NA
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",6423,1654,NA
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",863,29,NA
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",5628,1117,NA
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00","allday","2025-11-11 00:00:00","2025-11-12 00:00:00",4486,742,NA
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",6245,795,NA
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00","allday","2025-11-14 00:00:00","2025-11-15 00:00:00",5950,870,NA
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00","allday","2025-11-16 00:00:00","2025-11-17 00:00:00",1107,19,NA
"evening#2025-11-10 17:00:00,2025-11-10 22:00:00","evening","2025-11-10 17:00:00","2025-11-10 22:00:00",738,25,NA
"evening#2025-11-11 17:00:00,2025-11-11 22:00:00","evening","2025-11-11 17:00:00","2025-11-11 22:00:00",762,69,NA
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00","evening","2025-11-12 17:00:00","2025-11-12 22:00:00",949,41,NA
"evening#2025-11-13 17:00:00,2025-11-13 22:00:00","evening","2025-11-13 17:00:00","2025-11-13 22:00:00",669,26,NA
"evening#2025-11-14 17:00:00,2025-11-14 22:00:00","evening","2025-11-14 17:00:00","2025-11-14 22:00:00",820,44,NA
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00","evening","2025-11-15 17:00:00","2025-11-15 22:00:00",1092,26,NA
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00","morning","2025-11-10 05:00:00","2025-11-10 12:00:00",1094,242,NA
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00","morning","2025-11-11 05:00:00","2025-11-11 12:00:00",1366,370,NA
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00","morning","2025-11-12 05:00:00","2025-11-12 12:00:00",1451,377,NA
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00","morning","2025-11-13 05:00:00","2025-11-13 12:00:00",1571,471,NA
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00","morning","2025-11-14 05:00:00","2025-11-14 12:00:00",1566,407,NA
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00","morning","2025-11-15 05:00:00","2025-11-15 12:00:00",484,35,NA
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00","morning","2025-11-16 05:00:00","2025-11-16 12:00:00",582,19,NA
"night#2025-11-10 22:00:00,2025-11-11 05:00:00","night","2025-11-10 22:00:00","2025-11-11 05:00:00",284,18,NA
"night#2025-11-11 22:00:00,2025-11-12 05:00:00","night","2025-11-11 22:00:00","2025-11-12 05:00:00",315,20,NA
"night#2025-11-12 22:00:00,2025-11-13 05:00:00","night","2025-11-12 22:00:00","2025-11-13 05:00:00",342,18,NA
"night#2025-11-13 22:00:00,2025-11-14 05:00:00","night","2025-11-13 22:00:00","2025-11-14 05:00:00",258,20,NA
"night#2025-11-14 22:00:00,2025-11-15 05:00:00","night","2025-11-14 22:00:00","2025-11-15 05:00:00",468,22,NA
"night#2025-11-15 22:00:00,2025-11-16 05:00:00","night","2025-11-15 22:00:00","2025-11-16 05:00:00",612,19,NA
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00","wkdy","2025-11-10 00:00:00","2025-11-15 00:00:00",10000,1207,NA
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00","wkend","2025-11-15 00:00:00","2025-11-17 00:00:00",6735,1117,NA
