local_timezone,timestamp,device_id,sensor,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762732815000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:00:15,2025-11-10,01:00:15,1,0,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733115000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:05:15,2025-11-10,01:05:15,1,5,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733415000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:10:15,2025-11-10,01:10:15,1,10,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733715000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:15:15,2025-11-10,01:15:15,1,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733716000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:15:16,2025-11-10,01:15:16,1,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733718000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:15:18,2025-11-10,01:15:18,1,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733722000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 01:15:22,2025-11-10,01:15:22,1,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733947000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:19:07,2025-11-10,01:19:07,1,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762734246000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:24:06,2025-11-10,01:24:06,1,24,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762734547000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 01:29:07,2025-11-10,01:29:07,1,29,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
