local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_bluetooth_rapids_countscans,phone_bluetooth_rapids_uniquedevices,phone_bluetooth_rapids_countscansmostuniquedevice,phone_bluetooth_doryab_countscansall,phone_bluetooth_doryab_uniquedevicesall,phone_bluetooth_doryab_meanscansall,phone_bluetooth_doryab_stdscansall,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansown,phone_bluetooth_doryab_uniquedevicesown,phone_bluetooth_doryab_meanscansown,phone_bluetooth_doryab_stdscansown,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansothers,phone_bluetooth_doryab_uniquedevicesothers,phone_bluetooth_doryab_meanscansothers,phone_bluetooth_doryab_stdscansothers,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers,phone_calls_rapids_missed_count,phone_calls_rapids_missed_distinctcontacts,phone_calls_rapids_missed_timefirstcall,phone_calls_rapids_missed_timelastcall,phone_calls_rapids_missed_countmostfrequentcontact,phone_calls_rapids_incoming_count,phone_calls_rapids_incoming_distinctcontacts,phone_calls_rapids_incoming_meanduration,phone_calls_rapids_incoming_sumduration,phone_calls_rapids_incoming_minduration,phone_calls_rapids_incoming_maxduration,phone_calls_rapids_incoming_stdduration,phone_calls_rapids_incoming_modeduration,phone_calls_rapids_incoming_entropyduration,phone_calls_rapids_incoming_timefirstcall,phone_calls_rapids_incoming_timelastcall,phone_calls_rapids_incoming_countmostfrequentcontact,phone_calls_rapids_outgoing_count,phone_calls_rapids_outgoing_distinctcontacts,phone_calls_rapids_outgoing_meanduration,phone_calls_rapids_outgoing_sumduration,phone_calls_rapids_outgoing_minduration,phone_calls_rapids_outgoing_maxduration,phone_calls_rapids_outgoing_stdduration,phone_calls_rapids_outgoing_modeduration,phone_calls_rapids_outgoing_entropyduration,phone_calls_rapids_outgoing_timefirstcall,phone_calls_rapids_outgoing_timelastcall,phone_calls_rapids_outgoing_countmostfrequentcontact,phone_data_yield_rapids_ratiovalidyieldedminutes,phone_data_yield_rapids_ratiovalidyieldedhours,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_timeattop3location,phone_locations_doryab_varspeed,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_radiusgyration,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_locationvariance,phone_locations_doryab_locationentropy,phone_locations_doryab_avgspeed,phone_locations_doryab_loglocationvariance,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_timeathome,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_timeattop1location,phone_locations_doryab_totaldistance,phone_locations_doryab_timeattop2location,phone_locations_barnett_hometime,phone_locations_barnett_disttravelled,phone_locations_barnett_rog,phone_locations_barnett_maxdiam,phone_locations_barnett_maxhomedist,phone_locations_barnett_siglocsvisited,phone_locations_barnett_avgflightlen,phone_locations_barnett_stdflightlen,phone_locations_barnett_avgflightdur,phone_locations_barnett_stdflightdur,phone_locations_barnett_probpause,phone_locations_barnett_siglocentropy,phone_locations_barnett_circdnrtn,phone_locations_barnett_wkenddayrtn,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock,phone_wifi_visible_rapids_countscans,phone_wifi_visible_rapids_uniquedevices,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock_locmap_home,phone_screen_rapids_countepisodeunlock_locmap_study,phone_screen_rapids_countepisodeunlock_locmap_living,phone_screen_rapids_countepisodeunlock_locmap_exercise,phone_screen_rapids_countepisodeunlock_locmap_greens,phone_screen_rapids_sumdurationunlock_locmap_home,phone_screen_rapids_sumdurationunlock_locmap_study,phone_screen_rapids_sumdurationunlock_locmap_living,phone_screen_rapids_sumdurationunlock_locmap_exercise,phone_screen_rapids_sumdurationunlock_locmap_greens,phone_screen_rapids_avgdurationunlock_locmap_home,phone_screen_rapids_avgdurationunlock_locmap_study,phone_screen_rapids_avgdurationunlock_locmap_living,phone_screen_rapids_avgdurationunlock_locmap_exercise,phone_screen_rapids_avgdurationunlock_locmap_greens
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00",afternoon,2025-11-10 12:00:00,2025-11-10 17:00:00,437,222,23,437,222,1.96846846846847,2.92189370138078,28,23,0,1,0,0,23,1,23.0,,23,23,0,23,23,0,414,221,1.87330316742081,2.56058630421005,28,21,0,1,0,0,2.0,2.0,928.0,985.0,1.0,2.0,1.0,40.0,80.0,33.0,47.0,9.89949493661167,33.0,0.684005549564299,993.0,1012.0,2.0,2.0,2.0,29.0,58.0,12.0,46.0,24.0416305603426,46.0,0.518436389236861,988.0,990.0,1.0,0.316649092642025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26.1002166666667,21.2807166666667,0.21385,5.22004333333333,9.06013631445312,766.466666666667,746,181,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,26.1002166666667,0.0,,,,5.22004333333334,
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00",afternoon,2025-11-11 12:00:00,2025-11-11 17:00:00,608,401,30,608,401,1.51620947630923,2.24507496445218,30,30,0,1,0,0,30,1,30.0,,30,30,0,30,30,0,578,400,1.445,1.73623479926981,30,30,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309982795954824,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,46.5494166666667,28.6522,0.186483333333333,5.81867708333333,9.53627352504734,742.416666666667,2077,493,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,46.5494166666667,0.0,,,,5.818677083333338,
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00",afternoon,2025-11-12 12:00:00,2025-11-12 17:00:00,564,367,7,564,367,1.53678474114441,1.60195697089439,16,7,0,1,1,1,7,1,7.0,,7,7,0,7,7,0,557,366,1.52185792349727,1.57838580332646,16,6,0,1,0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,6.0,6.0,6.0,6.0,,6.0,0.0,1013.0,1013.0,0.0,0.366646317796029,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,33.7037333333333,19.5136,0.08825,3.74485925925926,6.22364672178435,772.983333333333,3687,1404,,3.0,0.0,0.0,6.0,0.0,11.234577777777766,0.0,0.0,22.46915555555553,0.0,3.7448592592592553,,,3.7448592592592553,
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00",afternoon,2025-11-13 12:00:00,2025-11-13 17:00:00,517,325,23,517,325,1.59076923076923,2.11299061633727,28,23,0,1,0,0,23,1,23.0,,23,23,0,23,23,0,494,324,1.52469135802469,1.74788901350069,28,14,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38331205951403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,48.6614333333333,20.5595666666667,0.0932,4.86614333333333,6.93242623443901,760.85,4596,546,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,48.6614333333333,0.0,,,,4.86614333333333,
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00",afternoon,2025-11-14 12:00:00,2025-11-14 17:00:00,349,239,27,349,239,1.4602510460251,1.76969396886404,27,27,0,1,0,0,27,1,27.0,,27,27,0,27,27,0,322,238,1.35294117647059,0.617443146143259,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336647982703627,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.1303333333333,19.7432833333333,0.146,4.68838888888889,7.56459657511861,749.533333333333,3183,718,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,28.1303333333333,0.0,,,,4.688388888888883,
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00",afternoon,2025-11-15 12:00:00,2025-11-15 17:00:00,236,182,0,236,182,1.2967032967033,0.6729912692579,5,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,236,182,1.2967032967033,0.6729912692579,5,0,0,1,1,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,81.0,81.0,81.0,81.0,,81.0,0.0,737.0,737.0,0.0,0.459974471416836,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,76.8527833333333,9.47765,0.0861166666666667,2.19579380952381,2.52613911785934,720.0,3594,1104,,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,76.8527833333333,0.0,,,,2.1957938095238085,
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00",afternoon,2025-11-16 12:00:00,2025-11-16 17:00:00,17,11,0,17,11,1.54545454545455,0.820199532264725,3,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,0,17,11,1.54545454545455,0.820199532264725,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109993895338809,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35.8321833333333,14.3786666666667,0.236466666666667,4.47902291666667,5.77617788819101,722.833333333333,180,15,,,,,,,,,,,,,,,,
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00",allday,2025-11-10 00:00:00,2025-11-11 00:00:00,1105,509,47,1105,509,2.17092337917485,5.36724714003631,82,47,47,1,0,0,95,2,47.5,0.707106781186548,48,47,47,47,48,0,1010,507,1.99211045364892,4.55705343956125,82,82,0,1,0,0,3.0,2.0,602.0,985.0,2.0,2.0,1.0,40.0,80.0,33.0,47.0,9.89949493661167,33.0,0.684005549564299,993.0,1012.0,2.0,2.0,2.0,29.0,58.0,12.0,46.0,24.0416305603426,46.0,0.518436389236861,988.0,990.0,1.0,0.284024493744569,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,185.870733333333,62.71395,0.0402666666666667,6.63824047619048,12.696104200618,448.766666666667,2846,324,,14.56,0.0,0.0,13.44,0.0,96.65278133333317,0.0,0.0,89.21795199999983,0.0,6.6382404761904645,,,6.638240476190464,
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00",allday,2025-11-11 00:00:00,2025-11-12 00:00:00,1411,794,54,1411,794,1.77707808564232,3.9708177013177,54,54,47,1,1,0,99,2,49.5,3.53553390593274,52,47,47,47,52,0,1312,792,1.65656565656566,3.16519190107838,54,54,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.280552311669452,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,161.097666666667,60.3386,0.0587333333333333,7.67131746031746,14.9030176347923,444.783333333333,4486,742,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,161.097666666667,0.0,,,,7.671317460317477,
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00",allday,2025-11-12 00:00:00,2025-11-13 00:00:00,1288,737,24,1288,737,1.74762550881954,2.42581741732029,30,24,24,1,1,1,52,2,26.0,2.82842712474619,28,24,24,24,28,0,1236,735,1.68163265306122,2.06946861007545,30,1,0,1,0,1,1.0,1.0,647.0,647.0,0.0,1.0,1.0,112.0,112.0,112.0,112.0,,112.0,0.0,1057.0,1057.0,0.0,1.0,1.0,6.0,6.0,6.0,6.0,,6.0,0.0,1013.0,1013.0,0.0,0.310413077515458,0.0833323698028075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,225.192116666667,104.706516666667,0.07615,7.76524540229885,19.7811592199993,448.783333333333,6423,1654,,1.9333333333333333,0.0,0.0,27.066666666666666,0.0,15.0128077777778,0.0,0.0,210.1793088888892,0.0,7.765245402298862,,,7.765245402298863,
