"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_bluetooth_rapids_countscans","phone_bluetooth_rapids_uniquedevices","phone_bluetooth_rapids_countscansmostuniquedevice","phone_bluetooth_doryab_countscansall","phone_bluetooth_doryab_uniquedevicesall","phone_bluetooth_doryab_meanscansall","phone_bluetooth_doryab_stdscansall","phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall","phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall","phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall","phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall","phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall","phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall","phone_bluetooth_doryab_countscansown","phone_bluetooth_doryab_uniquedevicesown","phone_bluetooth_doryab_meanscansown","phone_bluetooth_doryab_stdscansown","phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown","phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown","phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown","phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown","phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown","phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown","phone_bluetooth_doryab_countscansothers","phone_bluetooth_doryab_uniquedevicesothers","phone_bluetooth_doryab_meanscansothers","phone_bluetooth_doryab_stdscansothers","phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers","phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers","phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers","phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers","phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers","phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",437,222,23,437,222,1.96846846846847,2.92189370138078,28,23,0,1,0,0,23,1,23,NA,23,23,0,23,23,0,414,221,1.87330316742081,2.56058630421005,28,21,0,1,0,0
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00","afternoon","2025-11-11 12:00:00","2025-11-11 17:00:00",608,401,30,608,401,1.51620947630923,2.24507496445218,30,30,0,1,0,0,30,1,30,NA,30,30,0,30,30,0,578,400,1.445,1.73623479926981,30,30,0,1,0,0
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",564,367,7,564,367,1.53678474114441,1.60195697089439,16,7,0,1,1,1,7,1,7,NA,7,7,0,7,7,0,557,366,1.52185792349727,1.57838580332646,16,6,0,1,0,1
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00","afternoon","2025-11-13 12:00:00","2025-11-13 17:00:00",517,325,23,517,325,1.59076923076923,2.11299061633727,28,23,0,1,0,0,23,1,23,NA,23,23,0,23,23,0,494,324,1.52469135802469,1.74788901350069,28,14,0,1,0,0
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00","afternoon","2025-11-14 12:00:00","2025-11-14 17:00:00",349,239,27,349,239,1.4602510460251,1.76969396886404,27,27,0,1,0,0,27,1,27,NA,27,27,0,27,27,0,322,238,1.35294117647059,0.617443146143259,4,0,0,1,0,0
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",236,182,0,236,182,1.2967032967033,0.6729912692579,5,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,236,182,1.2967032967033,0.6729912692579,5,0,0,1,1,0
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00","afternoon","2025-11-16 12:00:00","2025-11-16 17:00:00",17,11,0,17,11,1.54545454545455,0.820199532264725,3,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,17,11,1.54545454545455,0.820199532264725,3,0,0,1,0,0
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",1105,509,47,1105,509,2.17092337917485,5.36724714003631,82,47,47,1,0,0,95,2,47.5,0.707106781186548,48,47,47,47,48,0,1010,507,1.99211045364892,4.55705343956125,82,82,0,1,0,0
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00","allday","2025-11-11 00:00:00","2025-11-12 00:00:00",1411,794,54,1411,794,1.77707808564232,3.9708177013177,54,54,47,1,1,0,99,2,49.5,3.53553390593274,52,47,47,47,52,0,1312,792,1.65656565656566,3.16519190107838,54,54,0,1,1,0
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",1288,737,24,1288,737,1.74762550881954,2.42581741732029,30,24,24,1,1,1,52,2,26,2.82842712474619,28,24,24,24,28,0,1236,735,1.68163265306122,2.06946861007545,30,1,0,1,0,1
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",1201,671,65,1201,671,1.78986587183308,3.26751790592873,65,65,23,1,0,0,66,2,33,14.142135623731,43,23,23,23,43,0,1135,669,1.6965620328849,2.73571469076636,65,65,0,1,0,0
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00","allday","2025-11-14 00:00:00","2025-11-15 00:00:00",906,504,95,906,504,1.79761904761905,4.82730741762823,95,95,95,1,0,0,148,2,74,29.698484809835,95,95,95,53,53,0,758,502,1.50996015936255,0.861056074410845,12,2,0,1,1,0
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",549,307,0,549,307,1.78827361563518,3.18864293107323,46,0,46,1,0,0,46,1,46,NA,46,46,46,46,0,0,503,306,1.6437908496732,1.9419216463861,32,0,0,1,0,0
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00","allday","2025-11-16 00:00:00","2025-11-17 00:00:00",187,108,27,187,108,1.73148148148148,2.84689199766743,27,27,27,1,0,0,27,1,27,NA,27,27,27,27,0,0,160,107,1.49532710280374,1.44961824366683,15,1,0,1,0,0
"evening#2025-11-10 17:00:00,2025-11-10 22:00:00","evening","2025-11-10 17:00:00","2025-11-10 22:00:00",104,42,20,104,42,2.47619047619048,5.0035991691742,28,20,20,1,0,0,20,1,20,NA,20,20,20,20,20,0,84,41,2.04878048780488,4.21871555993169,28,3,0,1,0,0
"evening#2025-11-11 17:00:00,2025-11-11 22:00:00","evening","2025-11-11 17:00:00","2025-11-11 22:00:00",130,59,21,130,59,2.20338983050847,2.67671737341397,21,21,21,1,0,0,21,1,21,NA,21,21,21,21,21,0,109,58,1.87931034482759,0.992561566553873,5,4,0,1,0,0
"evening#2025-11-12 17:00:00,2025-11-12 22:00:00","evening","2025-11-12 17:00:00","2025-11-12 22:00:00",115,50,0,115,50,2.3,1.58113883008419,9,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,115,50,2.3,1.58113883008419,9,9,0,1,0,0
"evening#2025-11-13 17:00:00,2025-11-13 22:00:00","evening","2025-11-13 17:00:00","2025-11-13 22:00:00",112,44,0,112,44,2.54545454545455,2.29716251112911,12,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,112,44,2.54545454545455,2.29716251112911,12,12,0,1,0,0
"evening#2025-11-14 17:00:00,2025-11-14 22:00:00","evening","2025-11-14 17:00:00","2025-11-14 22:00:00",97,37,25,97,37,2.62162162162162,3.94652696368276,25,25,25,1,0,0,25,1,25,NA,25,25,25,25,25,0,72,36,2,1.14642300844222,6,6,0,1,1,0
"evening#2025-11-15 17:00:00,2025-11-15 22:00:00","evening","2025-11-15 17:00:00","2025-11-15 22:00:00",111,31,46,111,31,3.58064516129032,7.98237305379124,46,46,46,1,0,0,46,1,46,NA,46,46,46,46,46,0,65,30,2.16666666666667,1.3412123525798,7,7,0,1,0,0
"morning#2025-11-10 05:00:00,2025-11-10 12:00:00","morning","2025-11-10 05:00:00","2025-11-10 12:00:00",455,225,27,455,225,2.02222222222222,3.20775350357264,27,27,27,1,1,0,52,2,26,1.4142135623731,27,27,27,25,25,0,403,223,1.80717488789238,2.26877404703149,21,15,0,1,0,0
"morning#2025-11-11 05:00:00,2025-11-11 12:00:00","morning","2025-11-11 05:00:00","2025-11-11 12:00:00",536,288,26,536,288,1.86111111111111,3.14151944220146,36,26,26,1,0,0,48,2,24,2.82842712474619,26,26,26,22,22,0,488,286,1.70629370629371,2.53904849654746,36,36,0,1,0,0
"morning#2025-11-12 05:00:00,2025-11-12 12:00:00","morning","2025-11-12 05:00:00","2025-11-12 12:00:00",491,270,24,491,270,1.81851851851852,2.80341494315807,24,24,24,1,0,0,45,2,22.5,2.12132034355964,24,24,24,21,21,0,446,268,1.66417910447761,2.16178602069264,22,21,0,1,0,0
"morning#2025-11-13 05:00:00,2025-11-13 12:00:00","morning","2025-11-13 05:00:00","2025-11-13 12:00:00",450,250,23,450,250,1.8,2.93709142249546,37,23,23,1,0,0,43,2,21.5,2.12132034355964,23,23,23,20,20,0,407,248,1.64112903225806,2.3474169487889,37,37,0,1,0,0
"morning#2025-11-14 05:00:00,2025-11-14 12:00:00","morning","2025-11-14 05:00:00","2025-11-14 12:00:00",287,173,20,287,173,1.65895953757225,2.41468209270255,26,20,20,1,0,0,46,2,23,4.24264068711928,26,20,20,20,26,0,241,171,1.4093567251462,0.610424294288365,4,0,0,1,0,0
"morning#2025-11-15 05:00:00,2025-11-15 12:00:00","morning","2025-11-15 05:00:00","2025-11-15 12:00:00",99,40,0,99,40,2.475,1.72444714291797,10,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,99,40,2.475,1.72444714291797,10,0,0,1,0,0
"morning#2025-11-16 05:00:00,2025-11-16 12:00:00","morning","2025-11-16 05:00:00","2025-11-16 12:00:00",91,53,0,91,53,1.71698113207547,1.59780328155885,12,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,91,53,1.71698113207547,1.59780328155885,12,0,0,1,1,0
"night#2025-11-10 22:00:00,2025-11-11 05:00:00","night","2025-11-10 22:00:00","2025-11-11 05:00:00",141,60,0,141,60,2.35,5.53517258928937,44,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,141,60,2.35,5.53517258928937,44,44,0,1,0,0
"night#2025-11-11 22:00:00,2025-11-12 05:00:00","night","2025-11-11 22:00:00","2025-11-12 05:00:00",108,55,0,108,55,1.96363636363636,1.03572548135463,6,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,108,55,1.96363636363636,1.03572548135463,6,0,0,1,0,0
"night#2025-11-12 22:00:00,2025-11-13 05:00:00","night","2025-11-12 22:00:00","2025-11-13 05:00:00",140,68,0,140,68,2.05882352941176,1.10470301190534,7,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,140,68,2.05882352941176,1.10470301190534,7,1,0,1,0,0
"night#2025-11-13 22:00:00,2025-11-14 05:00:00","night","2025-11-13 22:00:00","2025-11-14 05:00:00",115,64,0,115,64,1.796875,0.759692659243155,4,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,115,64,1.796875,0.759692659243155,4,0,0,1,0,0
"night#2025-11-14 22:00:00,2025-11-15 05:00:00","night","2025-11-14 22:00:00","2025-11-15 05:00:00",163,62,50,163,62,2.62903225806452,6.23378912997345,50,50,50,1,0,0,50,1,50,NA,50,50,50,50,50,0,113,61,1.85245901639344,1.22251197095394,7,0,0,1,0,0
"night#2025-11-15 22:00:00,2025-11-16 05:00:00","night","2025-11-15 22:00:00","2025-11-16 05:00:00",117,67,27,117,67,1.74626865671642,3.28145978039749,27,27,27,1,1,0,27,1,27,NA,27,27,27,27,27,0,90,66,1.36363636363636,0.986623825693751,8,0,0,1,1,0
"wkdy#2025-11-10 00:00:00,2025-11-15 00:00:00","wkdy","2025-11-10 00:00:00","2025-11-15 00:00:00",5911,3161,236,5911,3161,1.86997785510914,7.5553560702068,236,236,236,1,1,1,460,2,230,8.48528137423857,236,236,236,224,224,0,5451,3159,1.72554605887939,4.91082764200982,173,173,0,1,1,1
"wkend#2025-11-15 00:00:00,2025-11-17 00:00:00","wkend","2025-11-15 00:00:00","2025-11-17 00:00:00",736,413,73,736,413,1.78208232445521,4.24275150269193,73,73,73,1,1,0,73,1,73,NA,73,73,73,73,73,0,663,412,1.60922330097087,2.38205218903377,47,47,0,1,1,0
