"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_screen_rapids_countepisodeunlock","phone_screen_rapids_sumdurationunlock","phone_screen_rapids_maxdurationunlock","phone_screen_rapids_mindurationunlock","phone_screen_rapids_avgdurationunlock","phone_screen_rapids_stddurationunlock","phone_screen_rapids_firstuseafter00unlock"
"afternoon#2025-11-10 12:00:00,2025-11-10 17:00:00","afternoon","2025-11-10 12:00:00","2025-11-10 17:00:00",5,26.1002166666667,21.2807166666667,0.21385,5.22004333333333,9.06013631445312,766.466666666667
"afternoon#2025-11-11 12:00:00,2025-11-11 17:00:00","afternoon","2025-11-11 12:00:00","2025-11-11 17:00:00",8,46.5494166666667,28.6522,0.186483333333333,5.81867708333333,9.53627352504734,742.416666666667
"afternoon#2025-11-12 12:00:00,2025-11-12 17:00:00","afternoon","2025-11-12 12:00:00","2025-11-12 17:00:00",9,33.7037333333333,19.5136,0.08825,3.74485925925926,6.22364672178435,772.983333333333
"afternoon#2025-11-13 12:00:00,2025-11-13 17:00:00","afternoon","2025-11-13 12:00:00","2025-11-13 17:00:00",10,48.6614333333333,20.5595666666667,0.0932,4.86614333333333,6.93242623443901,760.85
"afternoon#2025-11-14 12:00:00,2025-11-14 17:00:00","afternoon","2025-11-14 12:00:00","2025-11-14 17:00:00",6,28.1303333333333,19.7432833333333,0.146,4.68838888888889,7.56459657511861,749.533333333333
"afternoon#2025-11-15 12:00:00,2025-11-15 17:00:00","afternoon","2025-11-15 12:00:00","2025-11-15 17:00:00",35,76.8527833333333,9.47765,0.0861166666666667,2.19579380952381,2.52613911785934,720
"afternoon#2025-11-16 12:00:00,2025-11-16 17:00:00","afternoon","2025-11-16 12:00:00","2025-11-16 17:00:00",8,35.8321833333333,14.3786666666667,0.236466666666667,4.47902291666667,5.77617788819101,722.833333333333
"allday#2025-11-10 00:00:00,2025-11-11 00:00:00","allday","2025-11-10 00:00:00","2025-11-11 00:00:00",28,185.870733333333,62.71395,0.0402666666666667,6.63824047619048,12.696104200618,448.766666666667
"allday#2025-11-11 00:00:00,2025-11-12 00:00:00","allday","2025-11-11 00:00:00","2025-11-12 00:00:00",21,161.097666666667,60.3386,0.0587333333333333,7.67131746031746,14.9030176347923,444.783333333333
"allday#2025-11-12 00:00:00,2025-11-13 00:00:00","allday","2025-11-12 00:00:00","2025-11-13 00:00:00",29,225.192116666667,104.706516666667,0.07615,7.76524540229885,19.7811592199993,448.783333333333
"allday#2025-11-13 00:00:00,2025-11-14 00:00:00","allday","2025-11-13 00:00:00","2025-11-14 00:00:00",29,218.05245,67.4474666666666,0.0932,7.51905,13.6637862246922,445.283333333333
"allday#2025-11-14 00:00:00,2025-11-15 00:00:00","allday","2025-11-14 00:00:00","2025-11-15 00:00:00",33,183.208066666667,31.9214333333333,0.09745,5.55175959595959,8.12378022067542,410.583333333333
"allday#2025-11-15 00:00:00,2025-11-16 00:00:00","allday","2025-11-15 00:00:00","2025-11-16 00:00:00",63,328.521766666667,84.5517166666666,0.0861166666666667,5.21463121693122,12.5172198271804,0
"allday#2025-11-16 00:00:00,2025-11-17 00:00:00","allday","2025-11-16 00:00:00","2025-11-17 00:00:00",13,162.646916666667,115.9386,0.236466666666667,12.5113012820513,31.4040838118365,0
