local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_bluetooth_rapids_countscans,phone_bluetooth_rapids_uniquedevices,phone_bluetooth_rapids_countscansmostuniquedevice,phone_bluetooth_doryab_countscansall,phone_bluetooth_doryab_uniquedevicesall,phone_bluetooth_doryab_meanscansall,phone_bluetooth_doryab_stdscansall,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansown,phone_bluetooth_doryab_uniquedevicesown,phone_bluetooth_doryab_meanscansown,phone_bluetooth_doryab_stdscansown,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansothers,phone_bluetooth_doryab_uniquedevicesothers,phone_bluetooth_doryab_meanscansothers,phone_bluetooth_doryab_stdscansothers,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers,phone_calls_rapids_missed_count,phone_calls_rapids_missed_distinctcontacts,phone_calls_rapids_missed_timefirstcall,phone_calls_rapids_missed_timelastcall,phone_calls_rapids_missed_countmostfrequentcontact,phone_calls_rapids_incoming_count,phone_calls_rapids_incoming_distinctcontacts,phone_calls_rapids_incoming_meanduration,phone_calls_rapids_incoming_sumduration,phone_calls_rapids_incoming_minduration,phone_calls_rapids_incoming_maxduration,phone_calls_rapids_incoming_stdduration,phone_calls_rapids_incoming_modeduration,phone_calls_rapids_incoming_entropyduration,phone_calls_rapids_incoming_timefirstcall,phone_calls_rapids_incoming_timelastcall,phone_calls_rapids_incoming_countmostfrequentcontact,phone_calls_rapids_outgoing_count,phone_calls_rapids_outgoing_distinctcontacts,phone_calls_rapids_outgoing_meanduration,phone_calls_rapids_outgoing_sumduration,phone_calls_rapids_outgoing_minduration,phone_calls_rapids_outgoing_maxduration,phone_calls_rapids_outgoing_stdduration,phone_calls_rapids_outgoing_modeduration,phone_calls_rapids_outgoing_entropyduration,phone_calls_rapids_outgoing_timefirstcall,phone_calls_rapids_outgoing_timelastcall,phone_calls_rapids_outgoing_countmostfrequentcontact,phone_data_yield_rapids_ratiovalidyieldedminutes,phone_data_yield_rapids_ratiovalidyieldedhours,phone_locations_doryab_varspeed,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_avgspeed,phone_locations_doryab_timeattop3location,phone_locations_doryab_totaldistance,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_locationvariance,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_radiusgyration,phone_locations_doryab_timeathome,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_timeattop1location,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_timeattop2location,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_locationentropy,phone_locations_doryab_loglocationvariance,phone_locations_doryab_minlengthstayatclusters,phone_locations_barnett_hometime,phone_locations_barnett_disttravelled,phone_locations_barnett_rog,phone_locations_barnett_maxdiam,phone_locations_barnett_maxhomedist,phone_locations_barnett_siglocsvisited,phone_locations_barnett_avgflightlen,phone_locations_barnett_stdflightlen,phone_locations_barnett_avgflightdur,phone_locations_barnett_stdflightdur,phone_locations_barnett_probpause,phone_locations_barnett_siglocentropy,phone_locations_barnett_circdnrtn,phone_locations_barnett_wkenddayrtn,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock,phone_wifi_visible_rapids_countscans,phone_wifi_visible_rapids_uniquedevices,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock_locmap_home,phone_screen_rapids_countepisodeunlock_locmap_study,phone_screen_rapids_countepisodeunlock_locmap_living,phone_screen_rapids_countepisodeunlock_locmap_exercise,phone_screen_rapids_countepisodeunlock_locmap_greens,phone_screen_rapids_sumdurationunlock_locmap_home,phone_screen_rapids_sumdurationunlock_locmap_study,phone_screen_rapids_sumdurationunlock_locmap_living,phone_screen_rapids_sumdurationunlock_locmap_exercise,phone_screen_rapids_sumdurationunlock_locmap_greens,phone_screen_rapids_avgdurationunlock_locmap_home,phone_screen_rapids_avgdurationunlock_locmap_study,phone_screen_rapids_avgdurationunlock_locmap_living,phone_screen_rapids_avgdurationunlock_locmap_exercise,phone_screen_rapids_avgdurationunlock_locmap_greens
"afternoon#2025-10-20 12:00:00,2025-10-20 17:00:00",afternoon,2025-10-20 12:00:00,2025-10-20 17:00:00,169,39,85,169,39,4.33333333333333,14.9337719233839,85,85,44,1,0,0,129,2,64.5,28.9913780286484,85,85,44,44,44,0,40,37,1.08108108108108,0.27672473069203,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393311504544831,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,131.130316666667,27.00425,0.120666666666667,5.46376319444444,7.52677331365148,720.0,1044,47,86,,,,,,,,,,,,,,,
"afternoon#2025-10-21 12:00:00,2025-10-21 17:00:00",afternoon,2025-10-21 12:00:00,2025-10-21 17:00:00,284,129,51,284,129,2.2015503875969,5.36099898130184,51,51,36,1,1,0,87,2,43.5,10.6066017177982,51,51,36,36,36,0,197,127,1.5511811023622,0.897161851382767,5,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336647982703627,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,107.11905,40.6445,5.89633333333333,17.853175,12.3226470837314,720.1,989,45,85,,,,,,,,,,,,,,,
"afternoon#2025-10-22 12:00:00,2025-10-22 17:00:00",afternoon,2025-10-22 12:00:00,2025-10-22 17:00:00,170,72,29,170,72,2.36111111111111,5.89653886437033,43,29,43,1,0,0,72,2,36.0,9.89949493661167,43,29,43,29,43,0,98,70,1.4,0.787584824049108,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353313724421628,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,145.9425,36.19355,0.2685,10.4244642857143,13.7628676297683,720.0,929,37,81,,,,,,,,,,,,,,,
"afternoon#2025-10-23 12:00:00,2025-10-23 17:00:00",afternoon,2025-10-23 12:00:00,2025-10-23 17:00:00,108,49,28,108,49,2.20408163265306,5.59381947568301,30,28,30,1,0,0,58,2,29.0,1.4142135623731,30,28,30,28,30,0,50,47,1.06382978723404,0.247092248145165,2,0,0,1,0,0,1.0,1.0,947.0,947.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.356646872765228,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,42.7781166666667,11.3269,0.553983333333333,3.56484305555556,3.44607094841913,720.0,1128,39,86,12.0,0.0,0.0,0.0,0.0,42.7781166666667,0.0,0.0,0.0,0.0,3.564843055555558,,,,
"afternoon#2025-10-24 12:00:00,2025-10-24 17:00:00",afternoon,2025-10-24 12:00:00,2025-10-24 17:00:00,286,110,101,286,110,2.6,9.93206280485746,101,101,32,1,0,0,133,2,66.5,48.7903679018718,101,101,32,32,32,0,153,108,1.41666666666667,0.712045887421867,4,4,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,4.0,2.0,101.5,406.0,1.0,396.0,196.350876409215,396.0,0.138994309697099,785.0,793.0,3.0,0.369979466139629,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,75.9234,29.5691333333333,0.0538666666666667,5.84026153846154,8.20971116285572,720.966666666667,1087,32,84,13.0,0.0,0.0,0.0,0.0,75.9234,0.0,0.0,0.0,0.0,5.840261538461538,,,,
"afternoon#2025-10-25 12:00:00,2025-10-25 17:00:00",afternoon,2025-10-25 12:00:00,2025-10-25 17:00:00,229,86,73,229,86,2.66279069767442,8.37589042166128,73,73,32,1,0,0,105,2,52.5,28.9913780286484,73,73,32,32,32,0,124,84,1.47619047619048,0.667240143475219,3,3,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346647427734427,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,62.17245,17.2673333333333,0.101833333333333,6.90805,7.2979087767252,756.616666666667,1028,78,87,,,,,,,,,,,,,,,
"afternoon#2025-10-26 12:00:00,2025-10-26 17:00:00",afternoon,2025-10-26 12:00:00,2025-10-26 17:00:00,278,102,51,278,102,2.72549019607843,5.97545617421816,51,51,36,1,0,0,87,2,43.5,10.6066017177982,51,51,36,36,36,0,191,100,1.91,1.01598337694188,5,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306649647611224,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,112.2618,41.8251,0.0711666666666667,16.0374,12.9407663354746,761.733333333333,872,30,83,,,,,,,,,,,,,,,
"allday#2025-10-20 00:00:00,2025-10-21 00:00:00",allday,2025-10-20 00:00:00,2025-10-21 00:00:00,580,160,166,580,160,3.625,19.7266700036768,189,166,166,1,0,0,355,2,177.5,16.2634559672906,189,166,166,166,189,0,225,158,1.42405063291139,1.55286586834256,11,0,0,1,0,0,0.0,0.0,,,0.0,1.0,1.0,9.0,9.0,9.0,9.0,,9.0,0.0,1162.0,1162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.289579985064756,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,344.62,96.9434666666666,0.191083333333333,9.84628571428571,17.4607141170286,599.916666666667,4381,74,362,35.0,0.0,0.0,0.0,0.0,344.62,0.0,0.0,0.0,0.0,9.846285714285715,,,,
"allday#2025-10-21 00:00:00,2025-10-22 00:00:00",allday,2025-10-21 00:00:00,2025-10-22 00:00:00,926,360,180,926,360,2.57222222222222,12.256783946376,180,180,180,1,0,0,326,2,163.0,24.0416305603426,180,180,180,146,146,0,600,358,1.67597765363128,2.11199946936615,35,35,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301385404120154,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,549.072533333333,147.246666666667,0.401466666666667,32.2983843137255,38.9449104299486,0.0,3798,81,304,17.0,0.0,0.0,0.0,0.0,549.072533333333,0.0,0.0,0.0,0.0,32.29838431372547,,,,
"allday#2025-10-22 00:00:00,2025-10-23 00:00:00",allday,2025-10-22 00:00:00,2025-10-23 00:00:00,768,289,174,768,289,2.65743944636678,12.3955478265706,174,174,174,1,0,0,294,2,147.0,38.1837661840736,174,174,174,120,120,0,474,287,1.65156794425087,1.70679103725177,20,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287496675819686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,425.341383333333,110.222166666667,0.0692333333333333,17.0136553333333,29.8029311244882,550.383333333333,3497,62,286,,,,,,,,,,,,,,,
