local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_bluetooth_rapids_countscans,phone_bluetooth_rapids_uniquedevices,phone_bluetooth_rapids_countscansmostuniquedevice,phone_bluetooth_doryab_countscansall,phone_bluetooth_doryab_uniquedevicesall,phone_bluetooth_doryab_meanscansall,phone_bluetooth_doryab_stdscansall,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansown,phone_bluetooth_doryab_uniquedevicesown,phone_bluetooth_doryab_meanscansown,phone_bluetooth_doryab_stdscansown,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansothers,phone_bluetooth_doryab_uniquedevicesothers,phone_bluetooth_doryab_meanscansothers,phone_bluetooth_doryab_stdscansothers,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers,phone_calls_rapids_missed_count,phone_calls_rapids_missed_distinctcontacts,phone_calls_rapids_missed_timefirstcall,phone_calls_rapids_missed_timelastcall,phone_calls_rapids_missed_countmostfrequentcontact,phone_calls_rapids_incoming_count,phone_calls_rapids_incoming_distinctcontacts,phone_calls_rapids_incoming_meanduration,phone_calls_rapids_incoming_sumduration,phone_calls_rapids_incoming_minduration,phone_calls_rapids_incoming_maxduration,phone_calls_rapids_incoming_stdduration,phone_calls_rapids_incoming_modeduration,phone_calls_rapids_incoming_entropyduration,phone_calls_rapids_incoming_timefirstcall,phone_calls_rapids_incoming_timelastcall,phone_calls_rapids_incoming_countmostfrequentcontact,phone_calls_rapids_outgoing_count,phone_calls_rapids_outgoing_distinctcontacts,phone_calls_rapids_outgoing_meanduration,phone_calls_rapids_outgoing_sumduration,phone_calls_rapids_outgoing_minduration,phone_calls_rapids_outgoing_maxduration,phone_calls_rapids_outgoing_stdduration,phone_calls_rapids_outgoing_modeduration,phone_calls_rapids_outgoing_entropyduration,phone_calls_rapids_outgoing_timefirstcall,phone_calls_rapids_outgoing_timelastcall,phone_calls_rapids_outgoing_countmostfrequentcontact,phone_data_yield_rapids_ratiovalidyieldedminutes,phone_data_yield_rapids_ratiovalidyieldedhours,phone_locations_doryab_timeathome,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_totaldistance,phone_locations_doryab_locationvariance,phone_locations_doryab_timeattop2location,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_varspeed,phone_locations_doryab_timeattop3location,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_loglocationvariance,phone_locations_doryab_timeattop1location,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_avgspeed,phone_locations_doryab_radiusgyration,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_locationentropy,phone_locations_doryab_normalizedlocationentropy,phone_locations_barnett_hometime,phone_locations_barnett_disttravelled,phone_locations_barnett_rog,phone_locations_barnett_maxdiam,phone_locations_barnett_maxhomedist,phone_locations_barnett_siglocsvisited,phone_locations_barnett_avgflightlen,phone_locations_barnett_stdflightlen,phone_locations_barnett_avgflightdur,phone_locations_barnett_stdflightdur,phone_locations_barnett_probpause,phone_locations_barnett_siglocentropy,phone_locations_barnett_circdnrtn,phone_locations_barnett_wkenddayrtn,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock,phone_wifi_visible_rapids_countscans,phone_wifi_visible_rapids_uniquedevices,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock_locmap_home,phone_screen_rapids_countepisodeunlock_locmap_study,phone_screen_rapids_countepisodeunlock_locmap_living,phone_screen_rapids_countepisodeunlock_locmap_exercise,phone_screen_rapids_countepisodeunlock_locmap_greens,phone_screen_rapids_sumdurationunlock_locmap_home,phone_screen_rapids_sumdurationunlock_locmap_study,phone_screen_rapids_sumdurationunlock_locmap_living,phone_screen_rapids_sumdurationunlock_locmap_exercise,phone_screen_rapids_sumdurationunlock_locmap_greens,phone_screen_rapids_avgdurationunlock_locmap_home,phone_screen_rapids_avgdurationunlock_locmap_study,phone_screen_rapids_avgdurationunlock_locmap_living,phone_screen_rapids_avgdurationunlock_locmap_exercise,phone_screen_rapids_avgdurationunlock_locmap_greens
"afternoon#2025-10-27 12:00:00,2025-10-27 17:00:00",afternoon,2025-10-27 12:00:00,2025-10-27 17:00:00,258,145,44,258,145,1.77931034482759,3.62374301102626,44,44,44,1,0,0,44,1,44.0,,44,44,44,44,0,0,214,144,1.48611111111111,0.819227942110388,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316649092642025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,216.631983333333,103.109616666667,1.88406666666667,24.0702203703704,32.9836993728571,720.0,903,53,78.0,,,,,,,,,,,,,,,
"afternoon#2025-10-28 12:00:00,2025-10-28 17:00:00",afternoon,2025-10-28 12:00:00,2025-10-28 17:00:00,106,50,52,106,50,2.12,7.20442041176025,52,52,52,1,0,0,52,1,52.0,,52,52,52,52,0,0,54,49,1.10204081632653,0.305838870920599,2,0,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,4.0,8.0,0.0,8.0,5.65685424949238,0.0,0.0,995.0,995.0,1.0,0.37997891117043,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,119.962133333333,30.4479833333333,0.0448833333333333,5.99810666666666,9.06460722003231,729.133333333333,981,38,85.0,,,,,,,,,,,,,,,
"afternoon#2025-10-29 12:00:00,2025-10-29 17:00:00",afternoon,2025-10-29 12:00:00,2025-10-29 17:00:00,174,62,47,174,62,2.80645161290323,7.98120478533718,47,47,47,1,0,0,92,2,46.0,1.4142135623731,47,47,47,45,45,0,82,60,1.36666666666667,0.688074362030454,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369979466139629,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,162.090416666667,31.2553833333333,0.0567833333333333,10.8060277777778,9.93253099715431,724.85,873,40,81.0,,,,,,,,,,,,,,,
"afternoon#2025-10-30 12:00:00,2025-10-30 17:00:00",afternoon,2025-10-30 12:00:00,2025-10-30 17:00:00,324,112,114,324,112,2.89285714285714,11.3608757615554,114,114,114,1,0,0,158,2,79.0,49.4974746830583,114,114,114,44,44,0,166,110,1.50909090909091,0.864651964192907,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356646872765228,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,128.278733333333,63.6009833333333,0.200366666666667,16.0348416666667,20.6497956634361,720.933333333333,1003,37,94.0,,,,,,,,,,,,,,,
"afternoon#2025-10-31 12:00:00,2025-10-31 17:00:00",afternoon,2025-10-31 12:00:00,2025-10-31 17:00:00,276,96,85,276,96,2.875,9.41024078219826,85,85,85,1,0,0,126,2,63.0,31.1126983722081,85,85,85,41,41,0,150,94,1.59574468085106,0.807480469302346,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359980021108828,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,111.24825,57.42105,0.732,18.541375,22.029307167349,738.616666666667,909,34,87.0,,,,,,,,,,,,,,,
"afternoon#2025-11-01 12:00:00,2025-11-01 17:00:00",afternoon,2025-11-01 12:00:00,2025-11-01 17:00:00,193,92,34,193,92,2.09782608695652,4.07635848753178,34,34,34,1,0,0,50,2,25.0,12.7279220613579,34,34,34,16,16,0,143,90,1.58888888888889,1.76669846625327,17,17,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63663133362765,0.799955602464063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,78.5475,22.0446666666667,0.0557166666666667,2.12290540540541,4.78623289147811,720.0,543,62,40.0,,,,,,,,,,,,,,,
"afternoon#2025-11-02 12:00:00,2025-11-02 17:00:00",afternoon,2025-11-02 12:00:00,2025-11-02 17:00:00,540,424,28,540,424,1.27358490566038,1.42608604124341,28,28,28,1,1,0,28,1,28.0,,28,28,28,28,0,0,512,423,1.21040189125296,0.584706820200374,8,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443308729698835,0.399977801232032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,98.9351666666666,31.5639833333333,0.0984666666666667,4.49705303030303,8.53857845529565,720.0,3130,959,,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,98.9351666666666,0.0,,,,4.497053030303028,
"allday#2025-10-27 00:00:00,2025-10-28 00:00:00",allday,2025-10-27 00:00:00,2025-10-28 00:00:00,863,397,143,863,397,2.17380352644836,7.356884969622,143,143,143,1,0,1,178,2,89.0,76.3675323681471,143,143,143,35,35,0,685,395,1.73417721518987,1.06524300460993,7,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282635620914522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,552.922583333334,168.1398,0.0521666666666667,24.0401123188406,38.9881505506505,532.133333333333,3006,79,250.0,,,,,,,,,,,,,,,
"allday#2025-10-28 00:00:00,2025-10-29 00:00:00",allday,2025-10-28 00:00:00,2025-10-29 00:00:00,619,256,119,619,256,2.41796875,8.29133195944806,119,119,119,1,1,0,174,2,87.0,45.254833995939,119,119,119,55,55,0,445,254,1.75196850393701,2.04820756087922,17,17,0,1,0,0,0.0,0.0,,,0.0,4.0,2.0,23.25,93.0,9.0,57.0,22.8965062837106,9.0,1.08603329637097,1050.0,1115.0,3.0,3.0,2.0,3.33333333333333,10.0,0.0,8.0,4.16333199893227,0.0,0.550402423538188,995.0,1088.0,2.0,0.321524060155832,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,485.010633333333,134.86265,0.0448833333333333,13.1083954954955,24.7353558788369,0.0,4441,74,380.0,,,,,,,,,,,,,,,
"allday#2025-10-29 00:00:00,2025-10-30 00:00:00",allday,2025-10-29 00:00:00,2025-10-30 00:00:00,879,322,110,879,322,2.72981366459627,11.4898700865987,171,110,110,1,0,0,281,2,140.5,43.1335136523794,171,110,110,110,171,0,598,320,1.86875,2.69592023127854,33,33,0,1,1,0,0.0,0.0,,,0.0,1.0,1.0,4.0,4.0,4.0,4.0,,4.0,0.0,1222.0,1222.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.318746314495739,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,367.575133333333,54.3149166666666,0.0567833333333333,7.65781527777778,11.2446151350334,0.0,3083,83,261.0,48.0,0.0,0.0,0.0,0.0,367.575133333333,0.0,0.0,0.0,0.0,7.657815277777771,,,,
