timestamp,device_id,bt_address,bt_name,bt_rssi
1762733115770,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-83
1762733716137,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-84
1762733718857,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-88
1762733722935,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:EB:BB:58:29:F0,NA,-86
1762734548186,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-90
1762734549206,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:D4:A4:50:96:48,NA,-87
1762734555542,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-89
1762735146579,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762735155236,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:D4:A4:50:96:48,NA,-84
1762735748073,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:92:72:FA:A7:5A,NA,-84
1762735748390,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-90
1762736279926,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-83
1762736280742,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,44:8D:72:63:08:F4,NA,-85
1762736880072,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,44:8D:72:63:08:F4,NA,-75
1762736880091,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-87
1762737480133,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:AB:E4:75:2E:2C,NA,-74
1762737481760,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762738122915,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762738123141,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:AB:E4:75:2E:2C,NA,-73
1762738726642,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,59:75:C8:12:84:21,NA,-78
1762738726660,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-88
1762738730835,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-88
1762739322901,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,50:FB:AA:05:B5:3E,NA,-88
1762739323061,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,59:75:C8:12:84:21,NA,-77
1762739324366,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-90
1762739854661,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-83
1762739855071,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:A0:E7:86:71:AC,NA,-77
1762740455662,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762740457955,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:A0:E7:86:71:AC,NA,-79
1762740463434,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,57:1A:24:EB:0D:F1,NA,-88
1762741053698,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-83
1762741055026,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,78:E2:98:13:B5:E9,NA,-78
1762741654979,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-83
1762741655267,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,43:A7:27:2A:E6:97,NA,-80
1762742187161,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,51:C5:07:95:BF:BD,NA,-70
1762742189119,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-86
1762742785641,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,51:C5:07:95:BF:BD,NA,-79
1762742785850,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762742793100,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-91
1762743386844,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762743394420,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,41:66:02:03:CF:87,NA,-89
1762743395441,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-89
1762743919743,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-80
1762743921370,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,69:B2:51:12:F3:68,NA,-84
1762743921635,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,41:66:02:03:CF:87,NA,-88
1762744519631,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-81
1762745117653,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-82
1762745118347,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,53:78:C4:B9:6A:03,NA,-84
1762745123501,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,F8:77:B8:5F:E4:89,[TV] Samsung 5 Series (55),-90
1762745717882,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,E6:68:C6:AB:E4:2D,SumUp 418,-81
1762745718296,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,53:78:C4:B9:6A:03,NA,-85
