local_timezone,timestamp,device_id,ssid,bssid,security,frequency,rssi,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762732815689,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:00:15,2025-11-10,01:00:15,1,0,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733115697,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:05:15,2025-11-10,01:05:15,1,5,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733415707,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:10:15,2025-11-10,01:10:15,1,10,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733715700,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:15:15,2025-11-10,01:15:15,1,15,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762733947692,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:19:07,2025-11-10,01:19:07,1,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762734246476,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:24:06,2025-11-10,01:24:06,1,24,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762734547746,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:29:07,2025-11-10,01:29:07,1,29,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762734847645,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:34:07,2025-11-10,01:34:07,1,34,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762735146500,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:39:06,2025-11-10,01:39:06,1,39,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762735446704,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,NA,NA,NA,0,0,2025-11-10 01:44:06,2025-11-10,01:44:06,1,44,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
